Severity,Temperature,General_Time,Latitude,Longitude
2,40,20,47.3,-122.3
2,35,21,47.2,-122.5
2,35,21,47.6,-122.2
3,35,21,47.7,-122.2
3,40,0,47.7,-122.2
2,35,5,47.7,-122.4
2,35,5,47.6,-122.3
2,35,5,47.6,-122.3
2,35,6,47.7,-122.3
3,35,9,47.6,-122.3
3,40,10,47.6,-122.3
3,30,10,47.2,-122.4
2,40,10,48,-122.4
2,35,11,47.1,-122.3
3,40,12,47,-122.9
2,40,12,47.7,-122.4
3,35,12,47.2,-122.5
3,40,13,47,-122.9
2,45,13,47.6,-122.3
2,45,13,47.6,-122.3
2,45,15,47.7,-122.3
3,45,15,47.7,-122.3
3,45,15,47.3,-122.3
2,45,15,47.2,-122.3
2,30,15,47.7,-117.4
2,45,17,48,-122.1
2,40,18,47.3,-122.3
2,45,18,48,-122
2,40,19,47.2,-122.4
3,40,19,47.8,-122.2
2,40,20,47.6,-122.3
2,40,20,47.6,-122.3
2,40,20,47.6,-122.3
2,40,20,47.3,-122.3
2,40,20,47.6,-122.3
3,40,21,47.9,-122.2
3,40,22,47.6,-122.2
2,40,22,47.8,-122.3
3,40,0,47.2,-122.5
3,40,2,47.6,-122.2
2,40,4,47.6,-122.3
3,40,4,47.5,-122.2
2,40,5,47.6,-122.3
2,40,6,47.6,-122.3
2,40,6,47.6,-122.3
2,40,7,47.7,-122.4
2,40,6,47.6,-122.3
2,40,7,47.6,-122.3
2,40,7,47.6,-122.3
2,40,9,47.6,-122.4
2,40,10,47.5,-122.3
3,40,10,47.6,-122.3
3,40,10,47.6,-122.3
3,40,10,47.6,-122.3
2,30,10,48.1,-122.3
3,35,11,47.6,-122.3
2,35,11,47.9,-117.4
2,35,12,47.6,-122.3
2,35,14,47.6,-122.3
2,35,15,47.4,-122.3
2,35,14,47.5,-122.3
3,35,15,48.1,-122.2
3,35,16,47.8,-122.2
2,35,16,47.2,-122.5
2,35,17,47.7,-117.4
2,35,17,47.6,-122.3
3,35,17,47.8,-122.2
2,30,18,47.7,-122.7
3,35,18,47.8,-122.2
2,35,18,47.6,-122.3
2,35,18,47.6,-117.4
2,35,19,47.6,-122.3
2,35,19,47.5,-122.1
2,35,19,47.7,-117.4
3,35,20,45.9,-122.7
2,35,20,47.4,-122.3
2,35,20,47.5,-122.3
2,35,20,47.7,-122.4
2,35,21,47.7,-117.5
2,35,21,47.7,-117.5
2,35,21,47.7,-117.4
3,35,22,47.4,-122.3
2,35,0,47.9,-122.2
2,35,0,47.5,-122.1
3,35,1,47.5,-122.3
3,35,8,47.5,-122.2
3,35,9,47.2,-122.4
3,40,10,47.6,-122.3
2,35,16,47.9,-122.2
3,35,21,47.6,-122.3
2,30,7,47.9,-122.3
2,35,9,47.5,-122.2
2,35,14,48,-122.2
3,35,18,47.8,-122.3
2,35,20,47.5,-122.3
2,20,21,47.7,-117.4
3,30,23,47.2,-122.5
2,20,0,47.7,-117.3
3,40,12,47.2,-122.5
3,35,17,47.1,-122.6
2,40,18,47.7,-122.3
2,35,18,47.7,-122.3
2,35,19,47.9,-121.8
2,35,20,47.9,-122.3
3,40,21,47.6,-122.3
3,40,4,47.5,-122.3
3,45,4,47.6,-122.2
2,45,7,47.6,-122.3
2,35,9,47.5,-122.7
3,40,10,47.2,-122.5
2,35,10,47.7,-117.4
2,40,10,47.2,-122.3
2,35,10,47.7,-117.2
3,45,11,47.6,-122.3
2,45,11,47.6,-122.3
2,35,12,47.7,-117.3
3,35,12,47.7,-117.2
3,45,12,47.6,-122.3
3,45,12,47.7,-122.3
2,45,13,47.7,-122.3
2,35,15,46.8,-117.5
2,55,16,47.3,-122.6
3,45,17,47.6,-122.3
3,35,17,47.2,-122.5
2,40,17,47.4,-122.3
3,40,17,47.4,-122.3
3,40,18,46.7,-123
2,40,18,47.6,-122.3
2,40,18,47.3,-122.3
3,40,19,47.5,-122.3
3,40,19,47.7,-122.2
3,40,20,47.7,-122.2
2,30,20,47.6,-117.5
3,35,21,47.8,-122.3
2,35,22,47.2,-122.4
3,40,1,47.6,-122.2
3,35,3,48.2,-122.2
2,40,4,47.6,-122.3
2,35,5,46.9,-122.5
2,40,6,47.5,-122.3
2,40,7,47.6,-122.3
2,40,7,46.8,-122.3
2,40,9,47.6,-122.4
2,35,9,46.2,-123.3
2,40,9,47.5,-122.4
3,35,9,47,-122.9
2,40,10,48.2,-122.6
2,45,10,47.5,-122.4
2,25,10,47.6,-117.6
2,35,10,47.5,-122.7
2,45,10,48.1,-122.6
2,45,10,47.7,-122.3
2,40,11,47.9,-122.3
3,40,11,46.2,-122.9
3,45,11,47.7,-122.3
